Product name,Product id,Listing price,Gender,Category,Rating,Reviews
  Originals Nmd_Racer Primeknit ,AH2430,14999,Mujer,Adidas Originals,48,41
  Originals Sleek ,G27341,7599,Mujer,Adidas Originals,33,24
  Swim Puka Slippers,CM0081,999,Mujer,Adidas Core / Neo,26,37
  Sport Inspired Questar Ride ,B44832,6999,Mujer,Adidas Core / Neo,41,35
  Originals Taekwondo ,D98205,7999,Mujer,Adidas Originals,35,72
  Sport Inspired Duramo Lite 2.0 ,B75586,4799,Mujer,Adidas Core / Neo,1,45
  Sport Inspired Duramo Lite 2.0 ,CG4051,4799,Mujer,Adidas Core / Neo,44,2
  Swim Puka Slippers,CM0080,999,Mujer,Adidas Core / Neo,28,7
  Running Duramo 9 ,B75990,5599,Mujer,Adidas Core / Neo,45,16
  Originals Forest Grove ,EE5761,6599,Hombre,Adidas Originals,4,39
  Originals Swift Run ,EE4553,7599,Mujer,Adidas Originals,27,36
  Originals Continental Vulc ,EF9315,6599,Mujer,Adidas Originals,42,35
  Running Duramo 9 ,F35281,5999,Mujer,Adidas Core / Neo,26,97
  Originals Supercourt ,EF9220,7599,Mujer,Adidas Originals,31,62
  Sport Inspired Response Trail ,EG0000,7999,Hombre,Adidas Core / Neo,32,16
  Running Cosmic 2 ,B44889,5999,Mujer,Adidas Core / Neo,31,69
  Sport Inspired Storm Runner ,CL7417,4599,Mujer,Adidas Core / Neo,1,16
  Sport Inspired Quickspike ,CL7408,3999,Mujer,Adidas Core / Neo,31,8
  Swim Cloudfoam Flip Flops,B43601,3299,Mujer,Adidas Core / Neo,27,62
  Sport Inspired Lite Racer ,EE8245,4299,Mujer,Adidas Core / Neo,38,67
  Running Duramo 9 ,EE8042,5599,Mujer,Adidas Core / Neo,5,30
  Sport Inspired Arcadeis ,CL7429,4299,Mujer,Adidas Core / Neo,37,43
  Sport Inspired Videll ,CL7370,3799,Mujer,Adidas Core / Neo,39,13
  Running Energyfalcon X ,EE9946,6599,Mujer,Adidas Core / Neo,44,81
  Sport Inspired Videll ,CK9741,3799,Mujer,Adidas Core / Neo,36,70
  Running Hellion Z ,CL7363,3299,Mujer,Adidas Core / Neo,27,46
  Sport Inspired Videll ,CL7372,3799,Mujer,Adidas Core / Neo,32,63
  Sport Inspired Arcadeis ,CL7430,4299,Mujer,Adidas Core / Neo,49,95
  Sport Inspired Cloudfoam Pure ,F34485,5599,Mujer,Adidas Core / Neo,5,15
  Running Hellion Z ,CL7365,3299,Mujer,Adidas Core / Neo,36,34
  Sport Inspired Yking 2.0 ,CL7373,3299,Mujer,Adidas Core / Neo,22,86
  Running Hellion Z ,CL7364,3299,Mujer,Adidas Core / Neo,39,3
  Sport Inspired Yking 2.0 ,CL7374,3299,Mujer,Adidas Core / Neo,34,67
  Sport Inspired Runfalcon ,EE8167,5599,Mujer,Adidas Core / Neo,33,5
  Sport Inspired Quickspike ,CL7410,3999,Mujer,Adidas Core / Neo,48,85
  Sport Inspired Blaze Runner ,CL7401,5599,Mujer,Adidas Core / Neo,36,4
  Sport Inspired Lite Racer Cln ,EE8219,4599,Mujer,Adidas Core / Neo,41,35
  Sport Inspired Blaze Runner ,CL7402,5599,Mujer,Adidas Core / Neo,36,13
  Nova Run X ,EE9929,8599,Mujer,Adidas Core / Neo,25,20
  Sport Inspired Questar Flow ,EE8221,6599,Mujer,Adidas Core / Neo,27,41
  Sport Inspired Questar Flow ,EE8224,6599,Mujer,Adidas Core / Neo,25,72
  Running Energyfalcon X ,EE9941,6599,Mujer,Adidas Core / Neo,15,32
  Running Asweego ,EE8522,7599,Mujer,Adidas Core / Neo,26,84
  Running Sooraj ,EE9932,5599,Mujer,Adidas Core / Neo,5,75
  Sport Inspired Questar Ride ,EE8375,6999,Mujer,Adidas Core / Neo,45,4
  Sport Inspired Run 70S ,EE9798,5599,Hombre,Adidas Core / Neo,39,48
  Running Asweerun ,EE8502,4999,Mujer,Adidas Core / Neo,32,12
  Sport Inspired Archivo ,EF0450,4999,Mujer,Adidas Core / Neo,39,83
 Sport Inspired Yking 2.0 ,CL7375,3299,Mujer,Adidas Core / Neo,2,11
  Sport Inspired Archivo ,EF0446,4999,Mujer,Adidas Core / Neo,1,42
  Running Response Trail X ,EF0529,6999,Mujer,Adidas Core / Neo,33,69
  Running Energyfalcon X ,EE9940,6599,Mujer,Adidas Core / Neo,41,33
  Originals Marathon Tech ,EE4954,11999,Mujer,Adidas Originals,44,35
  Originals U_Path Run ,G27996,7999,Mujer,Adidas Originals,48,18
  Sport Inspired Drogo ,CL4156,2699,Hombre,Adidas Core / Neo,35,89
  Originals Stan Smith ,EE4893,7999,Mujer,Adidas Originals,4,47
  Running Sooraj ,EE9937,5599,Mujer,Adidas Core / Neo,48,94
  Originals U_Path Run ,G27649,7999,Mujer,Adidas Originals,45,35
  Sport Inspired Run 70S ,EE9797,5599,Hombre,Adidas Core / Neo,47,39
  Running Nayo 1.0 ,CI9914,4999,Hombre,Adidas Core / Neo,38,98
  Sports Inspired Lite Racer ,EE8252,4299,Hombre,Adidas Core / Neo,15,6
  Running Nepton 2.0 ,CK9664,5999,Hombre,Adidas Core / Neo,0,17
  Running Aseerun ,EE8501,4999,Mujer,Adidas Core / Neo,48,77
  Running Torik ,CL7602,4799,Hombre,Adidas Core / Neo,44,17
  Sport Inspired Kalus 1.0 ,CL7494,4599,Hombre,Adidas Core / Neo,3,28
  Running Duramo 9 ,EE7923,5999,Hombre,Adidas Core / Neo,39,88
  Originals Continental 80 ,EE5566,7999,Mujer,Adidas Originals,4,23
